v8-version,4,6,85,28,0
code-creation,Stub,11,0x65b7ab117c0,256,"BinaryOpICStub(MUL:Int32*Int32->Int32)"
code-creation,Stub,11,0x65b7ab118c0,414,"BinaryOpICStub(MUL:Int32*Int32->Number)"
code-creation,Stub,11,0x65b7ab11a60,442,"BinaryOpICStub(MUL:Int32*Number->Number)"
code-creation,Stub,11,0x65b7ab11c20,256,"BinaryOpICStub(MUL:Int32*Smi->Int32)"
code-creation,Stub,11,0x65b7ab11d20,414,"BinaryOpICStub(MUL:Int32*Smi->Number)"
code-creation,Stub,11,0x65b7ab11ec0,442,"BinaryOpICStub(MUL:Number*Int32->Number)"
code-creation,Stub,11,0x65b7ab12080,466,"BinaryOpICStub(MUL:Number*Number->Number)"
code-creation,Stub,11,0x65b7ab12260,442,"BinaryOpICStub(MUL:Number*Smi->Number)"
code-creation,Stub,11,0x65b7ab12420,256,"BinaryOpICStub(MUL:Smi*Int32->Int32)"
code-creation,Stub,11,0x65b7ab12520,414,"BinaryOpICStub(MUL:Smi*Int32->Number)"
code-creation,Stub,11,0x65b7ab126c0,442,"BinaryOpICStub(MUL:Smi*Number->Number)"
code-creation,Stub,11,0x65b7ab12880,256,"BinaryOpICStub(MUL:Smi*Smi->Int32)"
code-creation,Stub,11,0x65b7ab12980,414,"BinaryOpICStub(MUL:Smi*Smi->Number)"
code-creation,Stub,11,0x65b7ab12b20,256,"BinaryOpICStub(MUL:Smi*Smi->Smi)"
code-creation,Stub,11,0x65b7ab12c20,220,"BinaryOpICStub(SAR:Int32*Smi->Int32)"
code-creation,Stub,11,0x65b7ab12d00,220,"BinaryOpICStub(SAR:Int32*Smi->Smi)"
code-creation,Stub,11,0x65b7ab12de0,344,"BinaryOpICStub(SAR:Number*Smi->Smi)"
code-creation,Stub,11,0x65b7ab12f40,220,"BinaryOpICStub(SAR:Smi*Smi->Smi)"
code-creation,Stub,11,0x65b7ab13020,220,"BinaryOpICStub(SHL:Int32*Smi->Int32)"
